pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower+lema,TFIDF_1-2,MultinomialNB,0.6321529597070163,0.03685119421153019,0.6453218399651094,0.6460481099656358,"{""clf__alpha"": 0.1}",167.5
lower+stem,TFIDF_1-3,LogRegresija,0.632114712567593,0.025418297514510135,0.6605169532974331,0.6632302405498282,"{""clf__C"": 1}",113.9
lower+stem,TFIDF,LinearSVM,0.6313093533119325,0.027159446304588757,0.6538787862157204,0.6563573883161512,"{""clf__C"": 0.1}",94.2
lower+lema,REC+CHAR,MultinomialNB,0.6309994926557481,0.03708402471209541,0.6451700707369455,0.6460481099656358,"{""clf__alpha"": 0.01}",207.6
lower,TFIDF_1-2,LogRegresija,0.6290526519331029,0.035949449026243384,0.66637278445517,0.6666666666666666,"{""clf__C"": 10}",73.5
lower+stem,TFIDF,MultinomialNB,0.6282380276399373,0.034356423821386595,0.653145939028292,0.6529209621993127,"{""clf__alpha"": 0.5}",99.3
lower+lema,IDF,MultinomialNB,0.6280805054570188,0.038987264216755815,0.6154396783211583,0.6151202749140894,"{""clf__alpha"": 2.0}",283.2
lower,REC+CHAR,MultinomialNB,0.627776280746271,0.03173150132801144,0.6723957793725236,0.6735395189003437,"{""clf__alpha"": 0.01}",371.3
lower+stem,TFIDF_1-3,LinearSVM,0.6277467081537653,0.02933521054676408,0.6699381728921529,0.6701030927835051,"{""clf__C"": 1}",123.5
lower+lema,TFIDF,MultinomialNB,0.6263583576711362,0.03430890681359797,0.622147352268501,0.6219931271477663,"{""clf__alpha"": 0.5}",182.5
lower,TFIDF_1-2,LinearSVM,0.6263040355558646,0.030568534544425593,0.6595154901731962,0.6597938144329897,"{""clf__C"": 1}",113.2
lower+lema,TFIDF_1-3,MultinomialNB,0.624702013598694,0.03364915523512224,0.651579513715155,0.6529209621993127,"{""clf__alpha"": 1.0}",161.9
lower+stem,IDF,MultinomialNB,0.6246696756605242,0.0350200599371135,0.6532639922573216,0.6529209621993127,"{""clf__alpha"": 0.5}",115.9
lower,CHAR_3-5,MultinomialNB,0.624634145642234,0.02922967377557421,0.6635648060739947,0.6632302405498282,"{""clf__alpha"": 0.01}",363.8
lower+stem,TFIDF_1-3,MultinomialNB,0.622215482650051,0.045168870080351246,0.6529946929771664,0.6563573883161512,"{""clf__alpha"": 0.1}",98.7
lower,IDF,LogRegresija,0.6219129465165586,0.031476548132643785,0.6588716005382672,0.6597938144329897,"{""clf__C"": 1}",70.0
lower,TFIDF,LogRegresija,0.6215219131853547,0.03394086405660326,0.6592330660989139,0.6597938144329897,"{""clf__C"": 1}",71.4
lower+stem,TF,MultinomialNB,0.620147658602407,0.028896138736648445,0.6429346823269775,0.6426116838487973,"{""clf__alpha"": 2.0}",371.8
lower+lema,TF,MultinomialNB,0.6187584430562477,0.0354047969318542,0.6257865591198924,0.6254295532646048,"{""clf__alpha"": 2.0}",308.5
lower,IDF,LinearSVM,0.6186620307831019,0.036933548566682184,0.66104606039287,0.6632302405498282,"{""clf__C"": 0.1}",70.4
lower,TFIDF_1-2,MultinomialNB,0.618138714845083,0.026670410144134037,0.6700580436102532,0.6701030927835051,"{""clf__alpha"": 0.1}",71.8
lower,TFIDF_1-3,LogRegresija,0.6180929511497475,0.03179519527516474,0.6459082066089011,0.6460481099656358,"{""clf__C"": 10}",346.4
