Pocetak izvrsavanja: 2026-08-04T02:13:15+02:00
Uklonjeno 11 dupliranih tekstova.
Ucitano tekstova: 2908

Pokrecem: lower + BOW + MultinomialNB
  Fold  7/10: accuracy=0.6804, macro-F1=0.6806, najbolje={}
  Fold  8/10: accuracy=0.6357, macro-F1=0.6357, najbolje={}
  Fold  9/10: accuracy=0.6172, macro-F1=0.6164, najbolje={}
  Fold 10/10: accuracy=0.6069, macro-F1=0.6051, najbolje={}

Pokrecem: lower + IDF + LogisticRegression (GridSearch)
  Fold  1/10: accuracy=0.6323, macro-F1=0.6321, najbolje={'classifier__C': 10.0}
  Fold  2/10: accuracy=0.6014, macro-F1=0.6016, najbolje={'classifier__C': 0.1}
  Fold  3/10: accuracy=0.6151, macro-F1=0.6157, najbolje={'classifier__C': 10.0}
  Fold  4/10: accuracy=0.5911, macro-F1=0.5904, najbolje={'classifier__C': 10.0}
  Fold  5/10: accuracy=0.5945, macro-F1=0.5938, najbolje={'classifier__C': 10.0}
  Fold  6/10: accuracy=0.6426, macro-F1=0.6418, najbolje={'classifier__C': 10.0}
  Fold  7/10: accuracy=0.6770, macro-F1=0.6773, najbolje={'classifier__C': 10.0}
  Fold  8/10: accuracy=0.6323, macro-F1=0.6324, najbolje={'classifier__C': 0.1}
  Fold  9/10: accuracy=0.6276, macro-F1=0.6276, najbolje={'classifier__C': 10.0}
  Fold 10/10: accuracy=0.6138, macro-F1=0.6115, najbolje={'classifier__C': 0.1}

Pokrecem: lower + IDF + LinearSVM
  Fold  1/10: accuracy=0.5704, macro-F1=0.5699, najbolje={}
  Fold  2/10: accuracy=0.5533, macro-F1=0.5537, najbolje={}
  Fold  3/10: accuracy=0.5911, macro-F1=0.5913, najbolje={}
  Fold  4/10: accuracy=0.5842, macro-F1=0.5828, najbolje={}
  Fold  5/10: accuracy=0.5773, macro-F1=0.5753, najbolje={}
  Fold  6/10: accuracy=0.5945, macro-F1=0.5939, najbolje={}
  Fold  7/10: accuracy=0.6632, macro-F1=0.6635, najbolje={}
  Fold  8/10: accuracy=0.6186, macro-F1=0.6178, najbolje={}
  Fold  9/10: accuracy=0.6034, macro-F1=0.6037, najbolje={}
  Fold 10/10: accuracy=0.5690, macro-F1=0.5690, najbolje={}

Pokrecem: lower + IDF + LinearSVM (GridSearch)
  Fold  1/10: accuracy=0.5773, macro-F1=0.5767, najbolje={'classifier__C': 0.1}
